Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
Button/Name/AbathurSpawningPool;Spawning Pool Disabled;Омут рождения запрещен;Brutschleimpool deaktiviert;Reserva de reproducción deshabilitada;Estanque de engendración deshabilitado;Bassin génétique désactivé;Pozza germinale disabilitata;산란못 사용 안 함;Niecka rozrodcza nieaktywna;Fosso de Desova Desabilitado;分裂池已禁用;孵化池停止運作
Button/Name/Aberration;Morph to Aberration;Мутировать в аберрацию;Zu Scheusal morphen;Mutar en aberración;Transformar en aberración;Transformer en aberration;Trasforma in Aberrazione;변형체로 변태;Przekształć w aberrację;Transmutar para Aberração;变异为畸变体;變形為變異體
Button/Name/AberrationBanelingIncubationLocked;Baneling Incubation;Инкубация гиблингов;Berstling-Inkubation;Incubación de pesteling;Incubación de Uetzis;Incubation de chancre;Incubazione di Baneling;맹독충 배양;Inkubacja Tępicieli;Incubação de Tatu-bomba;爆虫孕育;毒爆蟲孵化
Button/Name/AberrationPassive;Aberration;Аберрация;Scheusal;Aberración;Aberración;Aberration;Aberrazione;변형체;Aberracja;Aberração;畸变体;變異體
Button/Name/AberrationProtectiveCover;Protective Cover;Защитное покрытие;Deckung;Cubierta protectora;Cubierta protectora;Couverture protectrice;Copertura protettiva;보호 덮개;Powłoka ochronna;Carapaça Protetora;肉身掩体;防禦罩
Button/Name/AberrationSwarm;Infested Swarm;Зараженный рой;Verseuchter Schwarm;Enjambre infestado;Tropa infestada;Essaim contaminé;Sciame infestato;감염된 군단;Skażony rój;Enxame Infestado;被感染的虫群;受感染的蟲群
Button/Name/AberrationTowering;Towering;Длинные ноги;Aufbäumen;Mastodóntico;Elevado;Imposant;Imponente;건너뛰기;Górowanie;Em forma de torre;巨兽;高大
Button/Name/AbilLocked;Abil Locked;Способность недоступна;Fähigkeit gesperrt;Habilidad bloqueada;Habilidad bloqueada;Capacité verrouillée;Abilità bloccata;능력 잠김;Zdolność zablokowana;Habilidade Bloqueada;技能锁定;技能已鎖定
Button/Name/AblativeScales;Kinetic Foam;Пенный наполнитель;Kinetischer Schaum;Espuma cinética;Espuma cinética;Mousse cinétique;Schiuma cinetica;동역학 충격완화복;Pianka kinetyczna;Espuma cinética;动能泡沫;動力泡沫塑料
Button/Name/AcceleratedMorph;Accelerated Morph;Ускоренная трансформация;Beschleunigte Metamorphose;Mutación acelerada;Transformación acelerada;Transformation accélérée;Metamorfosi accelerata;가속 변태;Przyspieszone przekształcanie;Transmutação Acelerada;加速变异;加速變形
Button/Name/AcidExplosionImmunity;Chemical Treatment;Антикоррозийное покрытие;Chemische Behandlung;Tratamiento químico;Tratamiento químico;Traitement chimique;Trattamento chimico;화학 처리;Obróbka chemiczna;Tratamento Químico;化学处理;化學處理
Button/Name/ActivateArtifact;Activate;Активация;Aktivieren;Activar;Activar;Activer;Attiva;활성화;Aktywuj;Ativar;激活;啟動
Button/Name/ActivateShieldGenerator;Activate Shield Generator;Включить генератор щита;Schildgenerator aktivieren;Activar generador de escudos;Activar Generador de escudo;Activer le générateur de bouclier;Attiva Generatore di Scudo;보호막 생성기 활성화;Aktywuj generator osłon;Ativar gerador de escudo;激活护盾生成器。;啟動護盾生成器
Button/Name/AdeptFenixShadeSpawn;Psionic Projection;Псионная проекция;Psi-Projektion;Proyección psiónica;Proyección psiónica;Projection psionique;Proiezione psionica;사이오닉 투영;Projekcja psioniczna;Projeção Psiônica;灵能投射;幽能延伸
Button/Name/AdeptPassive;Adept;Адепт;Adept;Adepta;Adepta;Adepte;Adepta;사도;Adept;Adepta;使徒;教士
Button/Name/AdeptShadeDebuff;Adept Shade Debuff;Тень адепта - отрицательный эффект;Adeptenschwächung;Desventaja de sombra de adepta;Adepta - Despotenciación de sombra;Malus de silhouette de l’adepte;Penalità Ombra Adepta;사도 그림자 약화 효과;Osłabienie przez cień adepta;Adepta - Vulto - Penalidade;Adept Shade Debuff;幽影之觸
Button/Name/AdvancedConstructionAuto;Advanced Construction;Ускоренное строительство;Fortgeschrittenes Bauen;Construcción avanzada;Construcción avanzada;Construction avancée;Costruzione avanzata;협동 건설;Zaawansowane Wznoszenie Budowli;Construção Avançada;高级建造;進階建造
Button/Name/AdvancedHealingAI;Advanced Healing AI;Система синхронного лечения;Fortgeschrittene Heilungs-K.I.;IA de sanación avanzada;IA de curación avanzada;IA de soin avancée;IA curativa avanzata;고급 치료 인공지능;Zaawansowana SI leczenia;I.A. de cura avançada;高级治疗AI;進階治療A.I.
Button/Name/AdvancedMitosis;Advanced Mitosis;Улучшенный митоз;Fortgeschrittene Mitose;Mitosis avanzada;Mitosis avanzada;Mitose avancée;Mitosi avanzata;고급 유사분열;Zaawansowana mitoza;Mitose Avançada;强化分裂;高等分裂
Button/Name/AdvancedPDDLocked;Point Defense Drone;Модуль точечной обороны;Verteidigungsdrohne;Robot de defensa de punto;Dron de defensa puntual;Drone de défense rapprochée amélioré;Drone di difesa puntuale;국지 방어기;Robot Obrony Punktowej;Droide de Defesa Pontual;定点防御无人机;定點防禦無人機
Button/Name/AdvancedTargetingSystems;Advanced Targeting Systems;Улучшенные системы наведения;Fortgeschrittene Zielerfassungssysteme;Sistemas de objetivo avanzados;Sistemas de focalización avanzados;Système de ciblage avancé;Sistemi di puntamento avanzati;첨단 조준 시스템;Zaawansowane systemy celownicze;Sistemas de Armas Avançados;高级瞄准系统;進階瞄準系統
Button/Name/AdvancedWeaponryBanshee;Shockwave Missile Battery;Ракетная батарея «Шквал»;Schockwellen-Raketenbatterie;Batería de misiles de onda de choque;Batería de misiles de onda expansiva;Batterie de missiles Onde de choc;Batteria di missili Shockwave;충격파 미사일 포대;Bateria rakiet Shockwave;Bateria de Mísseis de Ondas de Choque;冲击波导弹巢;衝擊波飛彈發射器
Button/Name/AdvancedWeaponryHellbat;Infernal Pre-Igniter;Запал «Адское пламя»;Infernalisches Zündsystem;Preignición infernal;Predeflagrador infernal;Amorce Infernale;Pre-iniettori Inferno;지옥불 조기점화기;Piekielny zapłon;Pré-ignição Infernal;地狱火预燃器;地獄預燃器
Button/Name/AdvancedWeaponryRaven;Hunter-Seeker Missile;Самонаводящаяся ракета;Verfolgerrakete;Misil cazador rastreador;Misil buscador cazador;Missile traqueur;Missile a ricerca avanzato;사냥꾼 추적 미사일;Pocisk Łowca;Míssil Teleguiado Caçador;猎杀飞弹;獵殺導引飛彈
Button/Name/AdvancedWeaponryReaper;D-8 Charge;Взрывчатка D-8;D-8-Ladung;Carga D-8;Carga D8;Charges de D-8;Carica D-8;D-8 폭탄;Ładunek D-8;Carga D-8;D-8型炸药;D-8炸藥
Button/Name/AetherMawAetherStorm;Aether Storm;Эфирный шторм;Äthersturm;Tormenta de éter;Tormenta etérea;Tempête éthérée;Tempesta Eterea;에테르 폭풍;Burza eterowa;Tempestade Etérea;以太风暴;以太風暴
Button/Name/AfterburnersLocked;Ignite Afterburners;Форсаж;Nachbrenner zünden;Iniciar postcombustión;Encender postquemadores;Allumage de la post-combustion;Attiva Postbruciatori;재연소 장치 점화;Uruchom dopalacze;Ignição Pós-combustão;后燃推进系统;啟動後燃器
Button/Name/AiurProtectorDamageBoost;Prismatic Alignment;Перенастройка линз;Prismatische Ausrichtung;Alineamiento prismático;Alineación prismática;Alignement prismatique;Allineamento prismatico;분광 정렬;Dopasowanie pryzmatyczne;Alinhamento Prismático;校准棱镜;稜鏡校準
Button/Name/Alacrity;Alacrity;Стремительность;Eifer;Prontitud;Presteza;Empressement;Alacrità;민첩;Zdecydowanie;Alacridade;敏捷;輕快
Button/Name/AlarackACHavocDetection;Havoc Detection;«Обнаружение» разрушителя;Detektorfunktion für Aggressor;Detección de caos;Detección del Caótico;Détection pour carnage;Atomizzatori vigili;교란기 탐지;Chaotyk wykrywacz;Detectar Devastador;浩劫探测;浩劫者偵測
Button/Name/AlarackACResearchHavocDetection;Research Havoc Detection;Разработать способность разрушителей «Обнаружение»;Detektorfunktion für Aggressor erforschen;Investigar detección de caos;Investigar Detección del Caótico;Rechercher Détection pour carnage;Ricerca Atomizzatori vigili;교란기 탐지 연구;Opracuj chaotyków wykrywaczy;Pesquisar Detectar Devastador;研究浩劫探测;研發浩劫者偵測
Button/Name/AlarakACMyLifefortheHighlord;Devotion;Преданность;Hingabe;Devoción;Devoción;Dévotion;Devozione;헌신;Oddanie;Devoção;献身;奉獻
Button/Name/AlarakACSummonDeathfleet;Summon Death Fleet;Вызов Флота смерти;Todesflotte anfordern;Invocar flota de la muerte;Invocar Flota de la Muerte;Invoquer la flotte de mort;Flotta della Morte;죽음의 함대 소환;Wezwanie Floty Śmierci;Evocar Frota da Morte;召唤死亡舰队;召喚死亡艦隊
Button/Name/AlarakAreaDamageUpgrade;Overpowered;Сверхсила;Übermächtig;Aumento de poder;Rebosante;Surpuissance;Dominazione;초강화;Przesilenie Mocy;Sobrecarregado;超强能量;力量加身
Button/Name/AlarakAttackStun;Imposing Presence;Довлеющее присутствие;Imposante Präsenz;Presencia imponente;Presencia imponente;Aura intimidante;Presenza imponente;압도적 존재감;Imponująca Obecność;Presença Imponente;盛气凌人;霸氣逼人
Button/Name/AlarakAvatar;Terrazine Insanity;Терразиновое безумие;Terrazinwahn;Locura de terrazine;Demencia por terracino;Démence de terrazine;Follia Terrazine;테라진 광기;Terrazytowy obłęd;Insanidade de Terrazino;地嗪癫狂;態化氫狂亂
Button/Name/AlarakColossusAerialTracking;Aerial Tracking;Наведение на воздушные цели;Luftzielerfassung;Rastreo aéreo;Rastreo aéreo;Ciblage aérien;Tracciamento aereo;공중 추적;Namierzanie powietrzne;Rastreamento Aéreo;空域追踪;對空鎖定
Button/Name/AlarakColossusChargedBlastChargeTime;Rapid Power Cycling;Ускоренный энергообмен;Induktionsbeschleuniger;Ciclo de carga rápido;Energización rápida;Accélérateur à induction;Ciclo rapido;급속 동력 순환;Szybkie przełączanie mocy;Ciclo de Poder Rápido;快速能量循环;快速能量循環
Button/Name/AlarakDeadlyCharge;Deadly Charge;Смертельный рывок;Tödlicher Ansturm;Carga mortal;Arremetida mortal;Charge mortelle;Carica letale;치명적인 돌진;Zabójcza Szarża;Investida Mortal;致命冲锋;死亡衝鋒
Button/Name/AlarakDestructionWaveDistance;Telekinesis;Телекинез;Telekinese;Telekinesia;Telequinesis;Télékinésie;Telecinesi;염동력;Telekineza;Telecinese;心灵传动;心靈傳動
Button/Name/AlarakEmpower;Empower Me;Усиливайте меня!;Bemächtigung;Potenciadme;Sírvanme;Renforcement;Potere ampliato;날 강화하라;Wzmocnienie;Deem-me Poder;供奉我;強化我的力量吧
Button/Name/AlarakForkedLightning;Forked Lightning;Раздвоенная молния;Gabelblitz;Relámpago bifurcado;Relámpago bífido;Fourche d’éclairs;Fulmine Biforcuto;갈래 번개;Rozwidlona błyskawica;Raio Bifurcado;叉状闪电;多重閃電
Button/Name/AlarakHavocAbilityRange;Bloodshard Resonance;Резонанс кровавых кристаллов;Bluttsplitterresonanz;Resonancia de piedra de sangre;Resonancia de esquirla sangrienta;Résonance des cristaux de sang;Risonanza sanguinea;혈석 공명;Rezonator krwawych odłamków;Ressonância de Cristais de Sangue;血水晶共鸣;血岩晶體共振
Button/Name/AlarakHighTemplarImprovedSacrifice;Power Overwhelming;Переполняющая мощь;Überwältigende Macht;Poder abrumador;Energía abrumadora;Déferlement de puissance;Potenza travolgente;압도적인 힘;Wszechogarniająca moc;Poder Esmagador;势不可挡;能量激發
Button/Name/AlarakImprovedSoulSteal;Improved Soul Steal;Улучшенная кража души;Verbesserter Seelenraub;Robo de alma mejorado;Robo de alma mejorado;Vol d’âme amélioré;Furto d'Anime Migliorato;향상된 영혼 강탈;Ulepszona kradzież duszy;Roubar Alma Aprimorado;强化窃魂;強化靈魂竊取
Button/Name/AlarakInsanity;Insanity;Безумие;Wahnsinn;Locura;Demencia;Démence;Follia;광기;Obłęd;Insanidade;癫狂;瘋狂
Button/Name/AlarakKnockback;Destruction Wave;Волна разрушения;Zerstörungswelle;Onda de destrucción;Oleada destructiva;Vague de destruction;Onda distruttiva;파괴 파동;Fala Zniszczenia;Onda de Destruição;湮灭波;破滅衝擊
Button/Name/AlarakLightningStrikes;Lightning Surge;Разряд молнии;Energieblitz;Oleada de relámpagos;Ráfaga relámpago;Arc électrique;Eruzione elettrica;번개 쇄도;Uderzenie Błyskawicy;Surto de Raios;闪电奔涌;電光脈衝
Button/Name/AlarakMasteryUnitAttackSpeed;Combat Mastery;Боевое искусство;Kampfmeisterung;Maestría de combate;Maestría de combate;Maîtrise du combat;Maestria tattica;전투 마스터;Mistrzowska walka;Maestria de Combate;战斗精通;戰鬥專精
Button/Name/AlarakMindBlast;Plasma Scourge;Плазменный кнут;Plasmaseuche;Azote de plasma;Azote plasmático;Fléau plasmique;Flagello al Plasma;플라스마 갈귀;Bicz plazmowy;Flagelo de Plasma;离子爆裂;電漿懲擊
Button/Name/AlarakMothershipMassTeleport;Mass Teleport;Массовая телепортация;Massenteleportation;Teletransporte en masa;Teletransportación en masa;Téléportation de masse;Teletrasporto di massa;대규모 순간이동;Zbiorowa teleportacja;Teleporte em Massa;群体传送;群體傳送
Button/Name/AlarakPsiOrb;Psionic Orb;Псионная сфера;Psi-Sphäre;Orbe psiónico;Orbe psiónico;Orbe psionique;Sfera psionica;사이오닉 구체;Kula psioniczna;Orbe Psiônico;灵能球;幽能光球
Button/Name/AlarakResearchStalkerPhasingArmor;Research Phasing Armor;Разработать фазовую броню;Phasenpanzerung erforschen;Investigar armadura de fase;Investigar Armadura fásica;Rechercher Armure phasique;Ricerca Corazza fasica;위상 장갑 연구;Opracuj pancerz fazujący;Pesquisar Armadura Fásica;研究相位护甲;研發相位裝甲
Button/Name/AlarakResearchStalkerPhasingArmory;Research Stalker Phasing Armory;Разработать фазовую броню для палачей;Phasenpanzerung für Henker erforschen;Investigar arsenal de fase de acechador;Investigar Armadura fásica del Persecutor;Rechercher Armure phasique pour traqueur;Ricerca Corazza fasica dei Persecutori;추적자 위상 장갑 연구;Opracuj pancerz fazowy tropicieli;Pesquisar Tormento - Arsenal Fásico;研究追猎者相位武装;研發屠敵者相位裝甲
Button/Name/AlarakSOAMothershipLineAttackLocked;Thermal Lance;Термальный луч;Thermolanze;Lanza térmica;Lanza térmica;Thermolance;Lancia termica;열 광선;Lanca termiczna;Lança Térmica;热能射线枪;熱能射線
Button/Name/AlarakSingularity;Singularity;Сингулярность;Singularität;Singularidad;Singularidad;Singularité;Singolarità;특이점;Osobliwość;Singularidade;奇点;能量異點
Button/Name/AlarakSoulSteal;Overwhelming Power;Переполняющая мощь;Überwältigende Kraft;Poder abrumador;Poder abrumador;Puissance accablante;Potere Travolgente;압도적인 힘;Obezwładniająca moc;Poder Esmagador;绝对力量;壓倒性的力量
Button/Name/AlarakStalkerForceBlast;Force Blast;Выброс силы;Rückstoßwelle;Explosión de fuerza;Estallido de fuerza;Déflagration psionique;Esplosione di forza;동력 폭발;Uderzenie mocy;Impacto de Força;力场冲击;能量震盪
Button/Name/AlarakStalkerPhasingArmor;Phasing Armor;Фазовая броня;Phasenpanzerung;Armadura de fase;Armadura fásica;Armure phasique;Corazza fasica;위상 장갑;Pancerz fazowy;Armadura Fásica;相位护甲;相位裝甲
Button/Name/AlarakStalkerPhasingArmory;Stalker Phasing Armory;Фазовая броня палачей;Phasenpanzerung für Henker;Arsenal de fase de acechador;Armadura fásica de Persecutor;Armure phasique pour traqueur;Corazza fasica dei Persecutori;추적자 위상 장갑;Pancerz fazowy tropicieli;Tormento - Arsenal Fásico;追猎者相位武装;屠敵者相位裝甲
Button/Name/AlarakStructureOvercharge;Structure Overcharge;Перегрузка строения;Gebäudeüberladung;Sobrecarga de estructuras;Sobrecarga de estructura;Surcharge de bâtiment;Sovraccarico strutture;구조물 과충전;Przeciążenie Budowli;Sobrecarga de Estrutura;建筑超载;建築超載
Button/Name/AlarakSupplicantMaxShields;Soul Augmentation;Твердость духа;Seelenstärkung;Aumento de alma;Amplificación anímica;Renforcement psychique;Incremento di anime;영혼 증강;Wzmocnienie duchowe;Aprimoramento de Alma;灵魂强化;靈魂強化
Button/Name/AlarakSupplicantSacrificeCDR;Wrath of the Highlord;Гнев Владыки;Zorn des Hochlords;Cólera del Gran Señor;Ira del Señor supremo;Courroux du haut seigneur;Ira del Monarca;군주의 분노;Gniew Wielkiego Wodza;Fúria do Senhor Supremo;高阶领主之怒;大領主之怒
Button/Name/AlarakTargetLockBuff;Detect Weakness;Выявление уязвимостей;Schwachstellenanalyse;Detectar debilidad;Debilidad expuesta;Détection des faiblesses;Istinto predatorio;약점 탐지;Ujawnianie słabości;Detectar Fraqueza;侦测弱点;偵測弱點
Button/Name/AlarakTheStrongestSurvive;The Strongest Survive;Выживает сильнейший;Überleben des Stärksten;Sobrevive el más fuerte;Supervivencia del más fuerte;La loi du plus fort;Selezione naturale;약육강식;Przetrwanie Najsilniejszych;Os Mais Fortes Sobrevivem;强者生存;強者生存
Button/Name/AlarakVanguardIncreaseSplashArea;Matter Dispersion;Дисперсия материи;Partikelstreuung;Dispersión de materia;Dispersión de materia;Dispersion de matière;Dispersione materica;물질 확산;Rozproszenie materii;Dispersão de Matéria;物质散化;物質散射
Button/Name/AlarakZealotFrenziedOverload;Frenzied Overload;Бешеная перегрузка;Kritische Überladung;Sobrecarga frenética;Sobrecarga frenética;Élan frénétique;Sovraccarico frenetico;광란의 과부하;Szał przeciążeniowy;Sobrecarga Frenética;疯狂超载;狂怒超載
Button/Name/AlarmBotLaserOff;Alarm Bot Laser Off;Лазер охранного робота - выкл.;Alarmbotlaser - Aus;Láser de robot de alarma desactivado;Robot alarma - Láser - Desactivado;Robot d’alerte laser - Arrêt;Robot d'Allarme - Laser Disattivato;경보 로봇 레이저 끄기;Robot alarmowy, Laser wył.;Laser do Alarme-robô Desligado;警戒机器人激光 关闭;警報機器人雷射 - 關閉
Button/Name/AlarmBotLaserOn;Alarm Bot Laser On;Лазер охранного робота - вкл.;Alarmbotlaser - Ein;Láser de robot de alarma activado;Robot alarma - Láser - Activado;Robot d’alerte laser - Marche;Robot d'Allarme - Laser Attivato;경보 로봇 레이저 켜기;Robot alarmowy, Laser wł.;Laser do Alarme-robô Ligado;警戒机器人激光 开启;警報機器人雷射 - 開啟
Button/Name/AleksanderNeuralInfestationLocked;Neural Infestation;Нейропаразитарное заражение;Neurale Verseuchung;Infestación neural;Infestación neural;Contamination neurale;Infestazione neurale;신경 감염;Infekcja Neuronalna;Infestação Neural;神经感染;神經感染
Button/Name/AllPurposeLaserBattery;ATX Laser Battery;Лазерная батарея ATX;ATX-Laserbatterie;Batería de láseres AAT;Batería láser ATX;Batterie de lasers ATX;Batteria laser ATX;만능 레이저 포대;Bateria laserowa ATX;Bateria Laser ATX;ATX激光炮组;ATX雷射砲
Button/Name/AmonCrystalDarkInertia;Dark Inertia;Темная инерция;Dunkle Trägheit;Inercia oscura;Inercia oscura;Sombre inertie;Inerzia Oscura;어둠의 무력감;Mroczna inercja;Inércia das Trevas;黑暗惯量;黑暗慣性
Button/Name/AmonCrystalDematerialize;Dematerialize;Дематериализация;Dematerialisieren;Desmaterializar;Desmaterialización;Dématérialisation;Smaterializzazione;비물질화;Dematerializacja;Desmaterializar;非物质化;消除
Button/Name/AmonHostDeathBeam;Death Beam;Луч смерти;Todesstrahl;Haz de muerte;Rayo mortal;Rayon de mort;Raggio mortale;죽음의 광선;Śmiercionośny promień;Raio da Morte;死亡光束;死亡射線
Button/Name/AmonHostDeathBlast;Death Blast;Роковой удар;Todesnova;Explosión de muerte;Explosión mortal;Déflagration de mort;Esplosione mortale;죽음의 폭발;Śmiercionośny wybuch;Impacto da Morte;死亡冲击;死亡震爆
Button/Name/AmonTentacleA;Void Laser;Лазер Пустоты;Leerenlaser;Láser de vacío;Láser del Vacío;Laser du Vide;Laser del Vuoto;공허 레이저;Laser otchłani;Laser do Vazio;虚空光束;虛空雷射
Button/Name/AmonTentacleB;Omnia Burst;Рассеянный взрыв;Omnia-Salve;Ráfaga omnia;Omniráfaga;Explosion d’omnia;Esplosione Omnia;다중 폭발;Omniwybuch;Explosão Omnia;凶兆爆发;歐姆尼亞爆擊
Button/Name/AmonTentacleC;Anima Shower;Дождь анимы;Anima-Schauer;Lluvia de alma;Tempestad espiritual;Pluie d’anima;Flusso Anima;영혼 소나기;Deszcz animy;Chuva de Ânima;心灵冲刷;阿尼瑪之雨
Button/Name/AmonTentacleCHeal;Anima Beam;Луч анимы;Anima-Strahl;Haz de alma;Rayo espiritual;Rayon d’anima;Raggio Anima;영혼 광선;Promień animy;Feixe de Ânima;心灵光束;阿尼瑪光束
Button/Name/AmonTentacleD;World Cleave;Рассекание мира;Weltenschlitzer;Fisura del mundo;Hendidura global;Fente du monde;Squarcio dei Mondi;세계 절단;Rozdzieranie światów;Corte Planetário;裂世;星球裂擊
